Nom de l'image,Label,Coordonnées des points
./AnnotedImage\image1_g_bis.jpg,EquationG1,"[[1054.75, 162.00000000000017], [1054.75, 209.50000000000017], [1232.25, 217.00000000000017], [1362.25, 212.00000000000017], [1509.75, 212.00000000000017], [1627.25, 212.00000000000017], [1642.25, 154.50000000000017], [1512.25, 152.00000000000017], [1372.25, 154.50000000000017], [1272.25, 137.00000000000017], [1177.25, 137.00000000000017], [1109.75, 137.00000000000017]]"
./AnnotedImage\image1_g_bis.jpg,EquationG2,"[[1887.25, 137.00000000000017], [1887.25, 184.50000000000017], [1892.25, 204.50000000000017], [2002.25, 212.00000000000017], [2124.75, 212.00000000000017], [2122.25, 149.50000000000017], [1979.75, 139.50000000000017]]"
./AnnotedImage\image1_g_bis.jpg,EquationG3,"[[1042.25, 232.00000000000017], [1052.25, 259.50000000000017], [1144.75, 269.50000000000017], [1124.75, 304.50000000000017], [1157.25, 354.50000000000017], [1229.75, 364.50000000000017], [1262.25, 282.00000000000017], [1349.75, 302.00000000000017], [1349.75, 332.00000000000017], [1282.25, 332.00000000000017], [1277.25, 367.00000000000017], [1314.75, 387.00000000000017], [1379.75, 392.00000000000017], [1429.75, 354.50000000000017], [1489.75, 334.50000000000017], [1532.25, 317.00000000000017], [1552.25, 279.50000000000017], [1667.25, 279.50000000000017], [1722.25, 234.50000000000017], [1817.25, 232.00000000000017], [1827.25, 272.00000000000017], [2064.75, 277.00000000000017], [2074.75, 222.00000000000017], [1864.75, 214.50000000000017], [1719.75, 217.00000000000017], [1529.75, 232.00000000000017], [1472.25, 219.50000000000017], [1384.75, 217.00000000000017], [1297.25, 224.50000000000017], [1164.75, 219.50000000000017]]"
./AnnotedImage\image1_g_bis.jpg,EquationG4,"[[1762.25, 292.00000000000017], [1724.75, 339.50000000000017], [1602.25, 339.50000000000017], [1497.25, 327.00000000000017], [1454.75, 367.00000000000017], [1519.75, 384.50000000000017], [1624.75, 387.00000000000017], [1737.25, 397.00000000000017], [1822.25, 397.00000000000017], [1859.75, 397.00000000000017], [1864.75, 357.00000000000017], [1872.25, 307.00000000000017], [1942.25, 302.00000000000017], [1997.25, 307.00000000000017], [1999.75, 364.50000000000017], [2009.75, 382.00000000000017], [2094.75, 394.50000000000017], [2137.25, 294.50000000000017], [2019.75, 277.00000000000017], [1879.75, 282.00000000000017], [1792.25, 267.00000000000017]]"
./AnnotedImage\image1_g_bis.jpg,EquationG5,"[[957.2500000000001, 402.00000000000017], [907.2500000000001, 442.00000000000017], [799.7500000000001, 444.50000000000017], [657.2500000000001, 444.50000000000017], [604.7500000000001, 452.00000000000017], [614.7500000000001, 507.00000000000017], [719.7500000000001, 539.5000000000002], [799.7500000000001, 514.5000000000002], [812.2500000000001, 559.5000000000002], [789.7500000000001, 584.5000000000002], [712.2500000000001, 592.0000000000002], [694.7500000000001, 619.5000000000002], [872.2500000000001, 669.5000000000002], [1019.7500000000001, 659.5000000000002], [1159.75, 662.0000000000002], [1297.25, 657.0000000000002], [1442.25, 649.5000000000002], [1484.75, 584.5000000000002], [1374.75, 554.5000000000002], [1369.75, 494.50000000000017], [1199.75, 482.00000000000017], [1192.25, 434.50000000000017], [1337.25, 449.50000000000017], [1354.75, 409.50000000000017], [1249.75, 379.50000000000017], [1119.75, 372.00000000000017], [1029.75, 379.50000000000017], [1009.7500000000001, 387.00000000000017], [972.2500000000001, 424.50000000000017], [972.2500000000001, 449.50000000000017], [927.2500000000001, 452.00000000000017], [892.2500000000001, 482.00000000000017], [1032.25, 519.5000000000002], [1119.75, 539.5000000000002], [1107.25, 577.0000000000002], [994.7500000000001, 579.5000000000002], [982.2500000000001, 512.0000000000002], [852.2500000000001, 492.00000000000017], [854.7500000000001, 469.50000000000017], [912.2500000000001, 444.50000000000017], [899.7500000000001, 439.50000000000017]]"
./AnnotedImage\image1_g_bis.jpg,EquationG6,"[[1462.25, 452.00000000000017], [1474.75, 494.50000000000017], [1559.75, 507.00000000000017], [1577.25, 569.5000000000002], [1662.25, 564.5000000000002], [1724.75, 592.0000000000002], [1784.75, 554.5000000000002], [1779.75, 509.50000000000017], [1702.25, 492.00000000000017], [1714.75, 442.00000000000017], [1772.25, 462.00000000000017], [1792.25, 499.50000000000017], [1857.25, 532.0000000000002], [2014.75, 534.5000000000002], [1977.25, 487.00000000000017], [1949.75, 447.00000000000017], [1822.25, 424.50000000000017], [1737.25, 427.00000000000017], [1684.75, 434.50000000000017], [1607.25, 429.50000000000017], [1522.25, 437.00000000000017]]"
./AnnotedImage\image1_g_bis.jpg,EquationG7,"[[447.2500000000001, 652.0000000000002], [447.2500000000001, 694.5000000000002], [529.7500000000001, 699.5000000000002], [684.7500000000001, 704.5000000000002], [792.2500000000001, 709.5000000000002], [907.2500000000001, 704.5000000000002], [907.2500000000001, 764.5000000000002], [909.7500000000001, 712.0000000000002], [1049.75, 712.0000000000002], [1217.25, 714.5000000000002], [1319.75, 712.0000000000002], [1314.75, 679.5000000000002], [1214.75, 664.5000000000002], [1062.25, 667.0000000000002], [972.2500000000001, 667.0000000000002], [889.7500000000001, 659.5000000000002], [789.7500000000001, 654.5000000000002], [702.2500000000001, 654.5000000000002], [609.7500000000001, 654.5000000000002], [517.2500000000001, 647.0000000000002]]"
./AnnotedImage\image1_g_bis.jpg,EquationG8,"[[1437.25, 664.5000000000002], [1442.25, 712.0000000000002], [1549.75, 744.5000000000002], [1657.25, 744.5000000000002], [1784.75, 752.0000000000002], [1887.25, 744.5000000000002], [1929.75, 664.5000000000002], [1912.25, 614.5000000000002], [1722.25, 622.0000000000002], [1654.75, 627.0000000000002], [1544.75, 632.0000000000002], [1474.75, 637.0000000000002]]"
./AnnotedImage\image1_g_bis.jpg,EquationG9,"[[657.2500000000001, 787.0000000000002], [669.7500000000001, 837.0000000000002], [804.7500000000001, 829.5000000000002], [842.2500000000001, 857.0000000000002], [892.2500000000001, 827.0000000000002], [877.2500000000001, 759.5000000000002], [772.2500000000001, 774.5000000000002], [712.2500000000001, 769.5000000000002]]"
./AnnotedImage\image1_g_bis.jpg,EquationG10,"[[1314.75, 797.0000000000002], [1302.25, 834.5000000000002], [1139.75, 834.5000000000002], [949.7500000000001, 837.0000000000002], [849.7500000000001, 852.0000000000002], [822.2500000000001, 902.0000000000002], [822.2500000000001, 962.0000000000002], [934.7500000000001, 974.5000000000002], [1119.75, 959.5000000000002], [1267.25, 952.0000000000002], [1259.75, 867.0000000000002], [1444.75, 877.0000000000002], [1552.25, 874.5000000000002], [1524.75, 927.0000000000002], [1534.75, 954.5000000000002], [1672.25, 987.0000000000002], [1799.75, 984.5000000000002], [1914.75, 959.5000000000002], [1967.25, 869.5000000000002], [1827.25, 827.0000000000002], [1649.75, 824.5000000000002], [1654.75, 772.0000000000002], [1492.25, 749.5000000000002], [1422.25, 749.5000000000002], [1347.25, 779.5000000000002]]"
