Nom de l'image,Label,Coordonnées des points
./AnnotedImage\image4_d.jpg,texteD33,"[[146.42857142857156, 25.71428571428571], [146.42857142857156, 151.42857142857142], [503.57142857142867, 159.99999999999997], [566.4285714285716, 468.57142857142856], [660.7142857142858, 491.4285714285714], [1166.4285714285716, 477.1428571428571], [1657.857142857143, 482.85714285714283], [2203.5714285714284, 494.2857142857142], [2312.142857142857, 479.99999999999994], [2317.8571428571427, 222.85714285714283], [2215.0, 97.14285714285714], [1946.4285714285716, 54.28571428571428], [1183.5714285714287, 48.57142857142857], [655.0000000000001, 51.42857142857142], [320.7142857142859, 54.28571428571428]]"
./AnnotedImage\image4_d.jpg,texteD34,"[[603.5714285714287, 491.4285714285714], [280.7142857142859, 522.8571428571428], [280.7142857142859, 699.9999999999999], [215.0000000000001, 794.2857142857142], [292.1428571428572, 885.7142857142857], [600.7142857142858, 871.4285714285713], [1106.4285714285716, 862.8571428571428], [1412.142857142857, 854.2857142857142], [1835.0, 854.2857142857142], [2089.285714285714, 845.7142857142857], [2303.5714285714284, 865.7142857142857], [2335.0, 777.1428571428571], [2323.5714285714284, 622.8571428571428], [2317.8571428571427, 522.8571428571428], [2263.5714285714284, 505.71428571428567], [2029.2857142857142, 497.1428571428571], [1695.0, 479.99999999999994], [1397.857142857143, 482.85714285714283], [1037.857142857143, 485.71428571428567], [760.7142857142858, 488.5714285714285]]"
./AnnotedImage\image4_d.jpg,texteD35,"[[243.57142857142867, 939.9999999999999], [63.571428571428726, 1005.7142857142857], [140.71428571428584, 1208.5714285714284], [483.57142857142867, 1205.7142857142856], [1195.0, 1171.4285714285713], [1760.7142857142858, 1160.0], [1949.2857142857142, 1148.5714285714284], [2315.0, 1117.142857142857], [2312.142857142857, 928.5714285714284], [2237.8571428571427, 865.7142857142857], [1852.1428571428573, 857.1428571428571], [1540.7142857142858, 851.4285714285713], [1280.7142857142858, 857.1428571428571], [1057.857142857143, 871.4285714285713], [743.5714285714287, 874.2857142857142], [452.1428571428572, 879.9999999999999], [300.7142857142859, 882.8571428571428]]"
./AnnotedImage\image4_d.jpg,texteD36,"[[183.57142857142867, 1225.7142857142856], [35.00000000000017, 1328.5714285714284], [69.28571428571445, 1388.5714285714284], [277.857142857143, 1422.8571428571427], [343.57142857142867, 1508.5714285714284], [623.5714285714287, 1545.7142857142856], [683.5714285714287, 1545.7142857142856], [686.4285714285716, 1457.142857142857], [880.7142857142858, 1479.9999999999998], [1463.5714285714287, 1454.2857142857142], [1635.0, 1448.5714285714284], [1660.7142857142858, 1342.8571428571427], [2229.285714285714, 1365.7142857142856], [2292.142857142857, 1302.8571428571427], [2332.142857142857, 1274.2857142857142], [2337.8571428571427, 1168.5714285714284], [2049.285714285714, 1168.5714285714284], [1735.0, 1177.142857142857], [1355.0, 1177.142857142857], [977.8571428571429, 1188.5714285714284], [666.4285714285716, 1185.7142857142856], [329.28571428571445, 1202.8571428571427]]"
./AnnotedImage\image4_d.jpg,texteD37,"[[366.42857142857156, 2611.428571428571], [617.857142857143, 2631.428571428571], [746.4285714285716, 2619.9999999999995], [786.4285714285716, 2779.9999999999995], [255.0000000000001, 2765.7142857142853], [75.00000000000017, 2805.7142857142853], [106.42857142857156, 2637.142857142857]]"
./AnnotedImage\image4_d.jpg,texteD38,"[[997.8571428571429, 2360.0], [949.2857142857144, 2451.428571428571], [749.2857142857144, 2428.5714285714284], [737.8571428571429, 2494.285714285714], [940.7142857142858, 2488.5714285714284], [1029.2857142857144, 2439.9999999999995], [1083.5714285714287, 2431.428571428571], [1080.7142857142858, 2494.285714285714], [1355.0, 2488.5714285714284], [1740.7142857142858, 2511.428571428571], [1855.0, 2408.5714285714284], [2343.5714285714284, 2439.9999999999995], [2320.714285714286, 2357.142857142857], [1917.8571428571427, 2345.7142857142853], [1583.5714285714287, 2345.7142857142853], [1172.142857142857, 2371.428571428571], [1026.4285714285716, 2371.428571428571]]"
./AnnotedImage\image4_d.jpg,texteD39,"[[635.0000000000001, 2971.428571428571], [795.0, 2948.5714285714284], [815.0, 3045.7142857142853], [1286.4285714285716, 3059.9999999999995], [1269.2857142857142, 2951.428571428571], [1949.2857142857142, 2985.7142857142853], [2115.0, 3017.142857142857], [2217.8571428571427, 2982.8571428571427], [2309.285714285714, 3022.8571428571427], [2175.0, 3077.142857142857], [2012.1428571428573, 3082.8571428571427], [1820.7142857142858, 3077.142857142857], [1689.2857142857142, 3088.5714285714284], [1663.5714285714287, 3139.9999999999995], [1500.7142857142858, 3151.428571428571], [1520.7142857142858, 3099.9999999999995], [1469.2857142857142, 3077.142857142857], [1377.857142857143, 3102.8571428571427], [1300.7142857142858, 3099.9999999999995], [1277.857142857143, 3154.2857142857138], [1135.0, 3148.5714285714284], [920.7142857142858, 3142.8571428571427], [877.8571428571429, 3114.2857142857138], [780.7142857142858, 3139.9999999999995], [669.2857142857144, 3122.8571428571427], [480.7142857142858, 3125.7142857142853], [289.28571428571445, 3122.8571428571427], [343.57142857142867, 3002.8571428571427], [560.7142857142858, 2991.428571428571]]"
./AnnotedImage\image4_d.jpg,texteD40,"[[306.42857142857156, 3188.5714285714284], [243.57142857142867, 3268.5714285714284], [235.0000000000001, 3354.2857142857138], [132.14285714285728, 3408.5714285714284], [129.28571428571445, 3468.5714285714284], [249.28571428571445, 3454.2857142857138], [255.0000000000001, 3422.8571428571427], [369.28571428571445, 3414.2857142857138], [457.857142857143, 3468.5714285714284], [589.2857142857143, 3459.9999999999995], [609.2857142857143, 3397.142857142857], [843.5714285714287, 3402.8571428571427], [1203.5714285714287, 3385.7142857142853], [1449.2857142857142, 3394.2857142857138], [1540.7142857142858, 3405.7142857142853], [1543.5714285714287, 3368.5714285714284], [1346.4285714285716, 3348.5714285714284], [1177.857142857143, 3354.2857142857138], [929.2857142857144, 3354.2857142857138], [840.7142857142858, 3368.5714285714284], [820.7142857142858, 3391.428571428571], [720.7142857142858, 3379.9999999999995], [755.0, 3325.7142857142853], [789.2857142857144, 3308.5714285714284], [1006.4285714285716, 3305.7142857142853], [1177.857142857143, 3297.142857142857], [1446.4285714285716, 3294.2857142857138], [1635.0, 3288.5714285714284], [1880.7142857142858, 3282.8571428571427], [2035.0, 3288.5714285714284], [2052.142857142857, 3251.428571428571], [2206.4285714285716, 3248.5714285714284], [2343.5714285714284, 3248.5714285714284], [2335.0, 3159.9999999999995], [2263.5714285714284, 3211.428571428571], [2183.5714285714284, 3191.428571428571], [2146.4285714285716, 3168.5714285714284], [1917.8571428571427, 3145.7142857142853], [1809.2857142857142, 3162.8571428571427], [1623.5714285714287, 3159.9999999999995], [1455.0, 3157.142857142857], [1400.7142857142858, 3165.7142857142853], [1340.7142857142858, 3151.428571428571], [1212.142857142857, 3154.2857142857138], [977.8571428571429, 3142.8571428571427], [929.2857142857144, 3151.428571428571], [900.7142857142858, 3219.9999999999995], [772.1428571428573, 3211.428571428571], [583.5714285714287, 3231.428571428571], [452.1428571428572, 3211.428571428571], [409.28571428571445, 3168.5714285714284]]"
./AnnotedImage\image4_d.jpg,texteD41,"[[2000.7142857142858, 3294.2857142857138], [1915.0, 3345.7142857142853], [1757.8571428571427, 3362.8571428571427], [1703.5714285714284, 3371.428571428571], [1712.1428571428573, 3468.5714285714284], [2280.714285714286, 3451.428571428571], [2357.8571428571427, 3411.428571428571], [2346.4285714285716, 3299.9999999999995], [2249.285714285714, 3334.2857142857138], [2106.4285714285716, 3314.2857142857138]]"
./AnnotedImage\image4_d.jpg,equationD92,"[[1677.857142857143, 1377.142857142857], [1652.142857142857, 1465.7142857142856], [1720.7142857142858, 1554.2857142857142], [1895.0, 1562.8571428571427], [2115.0, 1559.9999999999998], [2315.0, 1594.2857142857142], [2349.285714285714, 1488.5714285714284], [2329.285714285714, 1377.142857142857], [2132.142857142857, 1371.4285714285713], [1837.8571428571427, 1371.4285714285713]]"
