Nom de l'image,Label,Coordonnées des points
./AnnotedImage\image5.jpg,texte,"[[765.4285714285717, 59.64285714285746], [728.2857142857146, 119.64285714285745], [1362.5714285714287, 125.35714285714317], [1382.5714285714287, 62.50000000000032], [1071.1428571428573, 59.64285714285746]]"
./AnnotedImage\image5.jpg,texte,"[[1994.0, 51.07142857142889], [1956.857142857143, 116.7857142857146], [2214.0, 119.64285714285745], [2236.8571428571427, 45.357142857143174]]"
./AnnotedImage\image5.jpg,texte,"[[776.8571428571431, 128.21428571428604], [745.4285714285717, 188.21428571428604], [1176.8571428571431, 196.7857142857146], [1191.1428571428573, 128.21428571428604]]"
./AnnotedImage\image5.jpg,texte,"[[2056.8571428571427, 131.0714285714289], [2011.1428571428573, 211.0714285714289], [2328.285714285714, 193.92857142857176], [2348.285714285714, 136.78571428571462]]"
./AnnotedImage\image5.jpg,texte,"[[794.0000000000002, 202.5000000000003], [765.4285714285717, 251.0714285714289], [939.7142857142859, 259.64285714285745], [951.1428571428573, 202.5000000000003]]"
./AnnotedImage\image5.jpg,texte,"[[1214.0000000000002, 191.0714285714289], [1182.5714285714287, 251.0714285714289], [1494.0000000000002, 262.5000000000003], [1511.1428571428573, 196.7857142857146]]"
./AnnotedImage\image5.jpg,texte,"[[1734.0000000000002, 188.21428571428604], [1696.857142857143, 259.64285714285745], [2339.714285714286, 268.214285714286], [2365.428571428571, 188.21428571428604]]"
./AnnotedImage\image5.jpg,texte,"[[802.5714285714288, 265.3571428571431], [785.4285714285717, 328.214285714286], [1176.8571428571431, 331.07142857142884], [1176.8571428571431, 268.214285714286]]"
./AnnotedImage\image5.jpg,texte,"[[765.4285714285717, 342.5000000000003], [731.1428571428573, 399.6428571428574], [1651.1428571428573, 399.6428571428574], [1659.7142857142858, 325.3571428571431]]"
./AnnotedImage\image5.jpg,texte,"[[1802.5714285714287, 348.214285714286], [1774.0000000000002, 391.07142857142884], [2322.5714285714284, 402.5000000000003], [2351.142857142857, 322.5000000000003]]"
./AnnotedImage\image5.jpg,texte,"[[751.1428571428573, 413.9285714285717], [736.8571428571431, 473.9285714285717], [1059.714285714286, 459.6428571428574], [1085.4285714285716, 422.5000000000003]]"
./AnnotedImage\image5.jpg,texte,"[[1214.0000000000002, 405.3571428571431], [1174.0000000000002, 459.6428571428574], [1531.1428571428573, 462.5000000000003], [1551.1428571428573, 411.07142857142884]]"
./AnnotedImage\image5.jpg,texte,"[[1991.1428571428573, 408.214285714286], [1985.4285714285716, 459.6428571428574], [2408.285714285714, 465.3571428571431], [2422.5714285714284, 393.9285714285717]]"
./AnnotedImage\image5.jpg,texte,"[[688.2857142857146, 462.5000000000003], [654.0000000000002, 533.9285714285717], [1356.8571428571431, 531.0714285714288], [1351.1428571428573, 471.07142857142884]]"
./AnnotedImage\image5.jpg,texte,"[[1396.8571428571431, 471.07142857142884], [1382.5714285714287, 525.3571428571431], [1785.4285714285716, 542.5000000000002], [1794.0000000000002, 493.9285714285717]]"
./AnnotedImage\image5.jpg,texte,"[[2031.1428571428573, 479.6428571428574], [2022.5714285714287, 531.0714285714288], [2399.7142857142853, 539.6428571428575], [2414.0, 491.07142857142884]]"
./AnnotedImage\image5.jpg,texte,"[[765.4285714285717, 536.7857142857146], [731.1428571428573, 608.214285714286], [1334.0000000000002, 596.7857142857146], [1351.1428571428573, 545.3571428571431]]"
./AnnotedImage\image5.jpg,texte,"[[1419.7142857142858, 531.0714285714288], [1399.7142857142858, 588.214285714286], [1945.4285714285716, 602.5000000000002], [1954.0, 539.6428571428575]]"
./AnnotedImage\image5.jpg,texte,"[[1996.857142857143, 545.3571428571431], [1988.2857142857144, 576.7857142857146], [2174.0, 613.9285714285717], [2196.8571428571427, 536.7857142857146]]"
./AnnotedImage\image5.jpg,texte,"[[962.5714285714288, 599.6428571428573], [948.2857142857144, 639.6428571428573], [1579.7142857142858, 671.0714285714288], [1605.4285714285716, 605.3571428571431]]"
./AnnotedImage\image5.jpg,texte,"[[742.5714285714288, 691.0714285714288], [722.5714285714288, 768.2142857142859], [1311.1428571428573, 762.5000000000002], [1365.4285714285716, 685.3571428571431]]"
./AnnotedImage\image5.jpg,texte,"[[1388.2857142857144, 693.9285714285717], [1339.7142857142858, 748.214285714286], [1908.2857142857144, 771.0714285714288], [1939.7142857142858, 702.5000000000002]]"
./AnnotedImage\image5.jpg,texte,"[[1982.5714285714287, 693.9285714285717], [1959.7142857142858, 759.6428571428573], [2331.142857142857, 759.6428571428573], [2342.5714285714284, 688.214285714286]]"
./AnnotedImage\image5.jpg,texte,"[[322.5714285714288, 771.0714285714288], [294.0000000000002, 856.7857142857146], [865.4285714285717, 842.5000000000002], [891.1428571428573, 765.3571428571431]]"
./AnnotedImage\image5.jpg,texte,"[[914.0000000000002, 779.6428571428573], [885.4285714285717, 848.2142857142859], [1479.7142857142858, 836.7857142857146], [1499.7142857142858, 773.9285714285717]]"
./AnnotedImage\image5.jpg,texte,"[[1516.8571428571431, 765.3571428571431], [1491.1428571428573, 833.9285714285717], [2368.285714285714, 839.6428571428573], [2385.428571428571, 759.6428571428573]]"
./AnnotedImage\image5.jpg,texte,"[[339.7142857142859, 859.6428571428573], [319.7142857142859, 908.2142857142859], [559.714285714286, 911.0714285714288], [585.4285714285717, 848.2142857142859]]"
./AnnotedImage\image5.jpg,texte,"[[754.0000000000002, 851.0714285714288], [734.0000000000002, 905.3571428571431], [2096.8571428571427, 891.0714285714288], [2102.5714285714284, 833.9285714285717]]"
./AnnotedImage\image5.jpg,texte,"[[296.85714285714306, 928.2142857142859], [296.85714285714306, 979.6428571428573], [959.7142857142859, 976.7857142857144], [965.4285714285717, 928.2142857142859]]"
./AnnotedImage\image5.jpg,texte,"[[1631.1428571428573, 896.7857142857146], [1614.0000000000002, 959.6428571428573], [1999.7142857142858, 953.9285714285717], [2005.4285714285716, 911.0714285714288]]"
./AnnotedImage\image5.jpg,texte,"[[374.0000000000002, 979.6428571428573], [368.2857142857145, 1048.214285714286], [628.2857142857146, 1045.3571428571431], [639.7142857142859, 982.5000000000002]]"
./AnnotedImage\image5.jpg,texte,"[[391.14285714285734, 1065.3571428571431], [368.2857142857145, 1116.7857142857147], [996.857142857143, 1128.214285714286], [1014.0000000000002, 1039.6428571428576]]"
./AnnotedImage\image5.jpg,texte,"[[1831.1428571428573, 1045.3571428571431], [1796.857142857143, 1116.7857142857147], [2308.285714285714, 1119.6428571428576], [2336.8571428571427, 1011.0714285714288], [1942.5714285714287, 1071.071428571429]]"
./AnnotedImage\image5.jpg,texte,"[[342.5714285714288, 1145.3571428571431], [311.14285714285734, 1211.071428571429], [971.1428571428573, 1228.214285714286], [999.7142857142859, 1159.6428571428576]]"
./AnnotedImage\image5.jpg,texte,"[[274.0000000000002, 1231.071428571429], [268.2857142857145, 1308.214285714286], [1214.0000000000002, 1322.5000000000002], [1216.8571428571431, 1259.6428571428573]]"
./AnnotedImage\image5.jpg,texte,"[[1425.4285714285716, 1248.214285714286], [1402.5714285714287, 1322.5000000000002], [2036.857142857143, 1316.7857142857147], [2065.428571428571, 1253.9285714285718]]"
./AnnotedImage\image5.jpg,texte,"[[282.5714285714288, 1316.7857142857147], [259.71428571428595, 1416.7857142857147], [631.1428571428573, 1396.7857142857147], [642.5714285714288, 1325.3571428571431]]"
./AnnotedImage\image5.jpg,texte,"[[1102.5714285714287, 1328.214285714286], [1091.1428571428573, 1399.6428571428573], [2105.428571428571, 1408.214285714286], [2111.142857142857, 1331.071428571429]]"
./AnnotedImage\image5.jpg,texte,"[[282.5714285714288, 1439.6428571428573], [276.85714285714306, 1485.3571428571431], [1496.8571428571431, 1482.5000000000002], [1516.8571428571431, 1431.071428571429], [862.5714285714288, 1413.9285714285718]]"
./AnnotedImage\image5.jpg,texte,"[[1722.5714285714287, 1413.9285714285718], [1714.0000000000002, 1488.214285714286], [2325.428571428571, 1479.6428571428573], [2376.8571428571427, 1391.071428571429]]"
./AnnotedImage\image5.jpg,texte,"[[279.71428571428595, 1508.214285714286], [288.2857142857145, 1576.7857142857144], [1574.0000000000002, 1548.214285714286], [1582.5714285714287, 1491.071428571429], [956.857142857143, 1485.3571428571431]]"
./AnnotedImage\image5.jpg,texte,"[[1756.857142857143, 1496.7857142857147], [1745.4285714285716, 1565.3571428571431], [2054.0, 1548.214285714286], [2068.285714285714, 1499.6428571428573]]"
./AnnotedImage\image5.jpg,texte,"[[1674.0000000000002, 1622.5000000000002], [1654.0000000000002, 1685.3571428571431], [2374.0, 1696.7857142857144], [2385.428571428571, 1619.6428571428573]]"
./AnnotedImage\image5.jpg,texte,"[[174.00000000000026, 1682.5000000000002], [156.85714285714312, 1816.7857142857144], [391.14285714285734, 1802.5000000000002], [394.00000000000017, 1665.3571428571431]]"
./AnnotedImage\image5.jpg,texte,"[[134.00000000000026, 1839.6428571428573], [119.71428571428596, 1888.214285714286], [428.2857142857145, 1871.071428571429], [439.7142857142859, 1799.6428571428573]]"
./AnnotedImage\image5.jpg,texte,"[[1611.1428571428573, 1739.6428571428573], [1602.5714285714287, 1833.9285714285718], [2222.5714285714284, 1793.9285714285718], [2251.142857142857, 1731.071428571429]]"
./AnnotedImage\image5.jpg,texte,"[[176.85714285714312, 1896.7857142857144], [156.85714285714312, 1945.3571428571431], [934.0000000000002, 1913.9285714285716], [925.4285714285717, 1859.6428571428573], [502.5714285714288, 1871.071428571429]]"
./AnnotedImage\image5.jpg,texte,"[[1711.1428571428573, 1828.214285714286], [1711.1428571428573, 1871.071428571429], [2265.428571428571, 1873.9285714285718], [2296.8571428571427, 1796.7857142857144], [1934.0, 1813.9285714285718]]"
