Nom de l'image,Label,Coordonnées des points
./AnnotedImage\image9_g.jpg,EquationG148,"[[1573.1428571428569, 1651.4285714285713], [1581.7142857142858, 1751.4285714285713], [1873.1428571428573, 1771.4285714285713], [2316.0, 1768.5714285714284], [2411.0, 1768.5714285714284], [2407.4285714285716, 1634.2857142857142], [1996.0, 1628.5714285714284]]"
./AnnotedImage\image9_g.jpg,EquationG149,"[[413.1428571428571, 1919.9999999999998], [407.42857142857144, 1991.4285714285713], [590.2857142857143, 2022.8571428571427], [801.7142857142857, 1988.5714285714284], [824.5714285714286, 2051.428571428571], [1030.2857142857142, 2062.8571428571427], [1318.8571428571427, 2011.4285714285713], [1418.8571428571427, 1979.9999999999998], [1390.2857142857142, 1871.4285714285713], [1090.2857142857142, 1885.7142857142856], [907.4285714285714, 1905.7142857142856], [676.0, 1922.8571428571427]]"
./AnnotedImage\image9_g.jpg,EquationG150,"[[2084.5714285714284, 1811.4285714285713], [2078.8571428571427, 1859.9999999999998], [2327.4285714285716, 1891.4285714285713], [2353.142857142857, 1891.4285714285713], [2370.285714285714, 1797.1428571428569]]"
./AnnotedImage\image9_g.jpg,EquationG151,"[[536.0, 2891.428571428571], [538.8571428571429, 2968.5714285714284], [830.2857142857143, 2979.9999999999995], [984.5714285714286, 2942.8571428571427], [1344.5714285714284, 2917.142857142857], [1296.0, 2859.9999999999995], [893.142857142857, 2862.8571428571427], [850.2857142857143, 2817.142857142857], [710.2857142857143, 2817.142857142857], [693.1428571428572, 2874.285714285714]]"
./AnnotedImage\image9_g.jpg,EquationG152,"[[1764.5714285714284, 2759.9999999999995], [1738.8571428571427, 2859.9999999999995], [1927.4285714285716, 2845.7142857142853], [1933.1428571428573, 2774.285714285714], [2001.7142857142858, 2797.142857142857], [2038.8571428571427, 2837.142857142857], [2176.0, 2848.5714285714284], [2258.8571428571427, 2834.285714285714], [2247.4285714285716, 2751.428571428571]]"
./AnnotedImage\image9_g.jpg,EquationG153,"[[598.8571428571429, 3028.5714285714284], [598.8571428571429, 3154.2857142857138], [927.4285714285714, 3157.142857142857], [950.2857142857143, 3017.142857142857]]"
./AnnotedImage\image9_g.jpg,EquationG154,"[[418.8571428571429, 3214.2857142857138], [424.57142857142856, 3319.9999999999995], [887.4285714285714, 3279.9999999999995], [850.2857142857143, 3188.5714285714284]]"
./AnnotedImage\image9_g.jpg,EquationG155,"[[924.5714285714286, 3197.142857142857], [927.4285714285714, 3262.8571428571427], [1033.1428571428569, 3285.7142857142853], [1196.0, 3271.428571428571], [1390.2857142857142, 3259.9999999999995], [1496.0, 3259.9999999999995], [1478.8571428571427, 3154.2857142857138], [1236.0, 3171.428571428571], [1044.5714285714284, 3177.142857142857]]"
./AnnotedImage\image9_g.jpg,EquationG156,"[[1493.1428571428569, 3231.428571428571], [1510.2857142857142, 3325.7142857142853], [1584.5714285714284, 3357.142857142857], [1781.7142857142858, 3345.7142857142853], [1984.5714285714284, 3331.428571428571], [1990.2857142857142, 3217.142857142857], [1676.0, 3217.142857142857]]"
./AnnotedImage\image9_g.jpg,EquationG157,"[[1301.7142857142858, 3328.5714285714284], [1356.0, 3339.9999999999995], [1373.1428571428569, 3414.2857142857138], [1504.5714285714284, 3434.2857142857138], [1707.4285714285716, 3437.142857142857], [1653.1428571428569, 3325.7142857142853], [1433.1428571428569, 3314.2857142857138]]"
./AnnotedImage\image9_g.jpg,TexteG53,"[[150.28571428571433, 137.14285714285714], [158.8571428571429, 814.2857142857142], [1187.4285714285716, 782.8571428571428], [1716.0, 757.1428571428571], [2378.8571428571427, 737.1428571428571], [2370.285714285714, 102.85714285714285]]"
./AnnotedImage\image9_g.jpg,TexteG54,"[[447.42857142857144, 1397.142857142857], [401.7142857142858, 1408.5714285714284], [233.14285714285722, 1411.4285714285713], [178.8571428571429, 839.9999999999999], [890.2857142857143, 791.4285714285713], [1353.1428571428569, 774.2857142857142], [1684.5714285714284, 754.2857142857142], [2133.142857142857, 734.2857142857142], [2411.0, 726.0325318246109], [2370.285714285714, 1285.7142857142856], [1924.5714285714284, 1305.7142857142856], [1467.4285714285716, 1334.2857142857142], [1090.2857142857142, 1359.9999999999998], [624.5714285714286, 1385.7142857142856]]"
./AnnotedImage\image9_g.jpg,TexteG55,"[[238.8571428571429, 1408.5714285714284], [244.57142857142856, 1725.7142857142856], [410.28571428571433, 1708.5714285714284], [490.28571428571433, 1639.9999999999998], [1078.8571428571427, 1665.7142857142856], [1461.7142857142858, 1659.9999999999998], [1507.4285714285716, 1599.9999999999998], [1504.5714285714284, 1657.1428571428569], [2411.0, 1617.6101468624831], [2364.5714285714284, 1285.7142857142856]]"
./AnnotedImage\image9_g.jpg,TexteG56,"[[233.14285714285722, 1791.4285714285713], [241.71428571428578, 1997.1428571428569], [373.1428571428571, 2008.5714285714284], [418.8571428571429, 1942.8571428571427], [1547.428571428571, 1871.4285714285713], [1461.7142857142858, 1874.2857142857142], [1458.8571428571427, 1945.7142857142856], [1736.0, 1948.5714285714284], [1750.2857142857142, 1825.7142857142856], [2001.7142857142858, 1811.4285714285713], [2261.714285714286, 1799.9999999999998], [2310.285714285714, 1794.2857142857142], [2313.142857142857, 1768.5714285714284], [1510.2857142857142, 1759.9999999999998], [1050.2857142857142, 1765.7142857142856]]"
./AnnotedImage\image9_g.jpg,EquationG158,"[[1744.5714285714284, 1811.4285714285713], [1716.0, 1968.5714285714284], [1981.7142857142858, 1951.4285714285713], [1953.1428571428573, 1811.4285714285713]]"
./AnnotedImage\image9_g.jpg,TexteG56,"[[2010.2857142857142, 1885.7142857142856], [1993.1428571428569, 1977.1428571428569], [1638.8571428571427, 2005.7142857142856], [1241.7142857142853, 2031.4285714285713], [861.7142857142854, 2045.7142857142856], [293.142857142857, 2082.8571428571427], [281.71428571428555, 2222.8571428571427], [93.142857142857, 2222.8571428571427], [98.85714285714272, 2362.8571428571427], [301.71428571428555, 2391.428571428571], [718.8571428571425, 2362.8571428571427], [1230.2857142857142, 2331.428571428571], [1575.9999999999995, 2311.428571428571], [2041.7142857142853, 2314.285714285714], [2375.9999999999995, 2274.285714285714], [2401.7142857142853, 2051.428571428571], [2344.5714285714284, 1911.4285714285713], [2307.428571428571, 1894.285714285714], [2138.8571428571427, 1862.8571428571427]]"
./AnnotedImage\image9_g.jpg,TexteG57,"[[338.8571428571429, 2391.428571428571], [378.8571428571429, 2899.9999999999995], [404.57142857142856, 2968.5714285714284], [510.28571428571433, 2959.9999999999995], [550.2857142857143, 2891.428571428571], [718.8571428571428, 2854.285714285714], [718.8571428571428, 2825.7142857142853], [870.2857142857143, 2817.142857142857], [898.8571428571428, 2859.9999999999995], [1161.7142857142858, 2845.7142857142853], [1161.7142857142858, 2779.9999999999995], [1384.5714285714284, 2782.8571428571427], [1393.1428571428569, 2911.428571428571], [1550.2857142857142, 2914.285714285714], [1533.1428571428569, 2814.285714285714], [1653.1428571428569, 2771.428571428571], [1813.1428571428573, 2745.7142857142853], [2298.8571428571427, 2754.285714285714], [2411.0, 2731.3474025974024], [2411.0, 2308.5714285714284], [2396.0, 2277.142857142857], [1913.1428571428573, 2308.5714285714284], [1513.1428571428569, 2308.5714285714284], [1236.0, 2311.428571428571], [1056.0, 2342.8571428571427], [715.9999999999999, 2360.0], [418.8571428571429, 2380.0]]"
./AnnotedImage\image9_g.jpg,EquationG159,"[[1184.5714285714284, 2762.8571428571427], [1178.8571428571427, 2871.428571428571], [1378.8571428571427, 2865.7142857142853], [1373.1428571428569, 2762.8571428571427]]"
./AnnotedImage\image9_g.jpg,TexteG58,"[[398.8571428571429, 2988.5714285714284], [410.28571428571433, 3208.5714285714284], [890.2857142857143, 3188.5714285714284], [927.4285714285714, 3157.142857142857], [604.5714285714286, 3142.8571428571427], [598.8571428571429, 3017.142857142857], [958.8571428571428, 2997.142857142857], [953.142857142857, 3125.7142857142853], [1336.0, 3097.142857142857], [1570.2857142857142, 3094.2857142857138], [1653.1428571428569, 3157.142857142857], [1533.1428571428569, 3165.7142857142853], [1536.0, 3211.428571428571], [2007.4285714285716, 3214.2857142857138], [2038.8571428571427, 3302.8571428571427], [1998.8571428571427, 3328.5714285714284], [1721.7142857142858, 3351.428571428571], [1750.2857142857142, 3451.428571428571], [2411.0, 3398.0091185410333], [2411.0, 2911.428571428571], [2411.0, 2837.142857142857], [2156.0, 2851.428571428571], [2041.7142857142858, 2834.285714285714], [2013.1428571428573, 2891.428571428571], [1821.7142857142858, 2888.5714285714284], [1610.2857142857142, 2902.8571428571427], [1547.428571428571, 2919.9999999999995], [1296.0, 2939.9999999999995], [1015.9999999999999, 2942.8571428571427], [924.5714285714286, 2968.5714285714284], [773.1428571428572, 2977.142857142857], [550.2857142857143, 2965.7142857142853]]"
./AnnotedImage\image9_g.jpg,TexteG59,"[[444.57142857142856, 3322.8571428571427], [456.0, 3482.8571428571427], [1138.8571428571427, 3422.8571428571427], [1136.0, 3334.2857142857138], [1504.5714285714284, 3317.142857142857], [1516.0, 3262.8571428571427], [913.142857142857, 3279.9999999999995]]"
./AnnotedImage\image9_g.jpg,EquationG160,"[[791.0000000000001, 395.0], [806.0000000000001, 537.5], [998.5000000000001, 527.5], [968.5000000000001, 382.5]]"
./AnnotedImage\image9_g.jpg,EquationG161,"[[776.0000000000001, 1180.0], [798.5000000000001, 1260.0], [976.0000000000001, 1242.5], [973.5000000000001, 1165.0]]"
./AnnotedImage\image9_g.jpg,EquationG162,"[[1131.0, 1357.5], [1136.0, 1430.0], [946.0000000000001, 1435.0], [963.5000000000001, 1335.0]]"
./AnnotedImage\image9_g.jpg,EquationG164,"[[1218.5, 1282.5], [1801.0, 1240.0], [1816.0, 1335.0], [1218.5, 1357.5]]"
./AnnotedImage\image9_g.jpg,EquationG165,"[[468.5000000000001, 747.5], [528.5000000000001, 672.5], [706.0000000000001, 667.5], [598.5000000000001, 767.5], [608.5000000000001, 830.0], [478.5000000000001, 830.0]]"
./AnnotedImage\image9_g.jpg,EquationG166,"[[208.5000000000001, 1050.0], [371.0000000000001, 1030.0], [358.5000000000001, 1135.0], [188.5000000000001, 1125.0]]"
./AnnotedImage\image9_g.jpg,EquationG167,"[[193.5000000000001, 1385.0], [386.0000000000001, 1387.5], [386.0000000000001, 1490.0], [198.5000000000001, 1477.5]]"
./AnnotedImage\image9_g.jpg,EquationG168,"[[633.5000000000001, 2195.0], [628.5000000000001, 2250.0], [733.5000000000001, 2267.5], [748.5000000000001, 2202.5], [828.5000000000001, 2205.0], [841.0000000000001, 2257.5], [938.5000000000001, 2305.0], [1023.5000000000001, 2305.0], [1036.0, 2375.0], [1171.0, 2362.5], [1171.0, 2282.5], [1253.5, 2275.0], [1261.0, 2212.5], [981.0000000000001, 2215.0], [958.5000000000001, 2175.0], [606.0000000000001, 2180.0]]"
./AnnotedImage\image9_g.jpg,EquationG169,"[[1938.5, 2350.0], [1791.0, 2370.0], [1526.0, 2390.0], [1523.5, 2327.5], [1843.5, 2287.5], [1941.0, 2285.0]]"
./AnnotedImage\image9_g.jpg,EquationG170,"[[1753.5, 1990.0], [1761.0, 2122.5], [1928.5, 2110.0], [1916.0, 1985.0]]"
./AnnotedImage\image9_g.jpg,EquationG171,"[[971.0000000000001, 827.5], [971.0000000000001, 897.5], [1038.5, 917.5], [1128.5, 890.0], [1113.5, 822.5]]"
./AnnotedImage\image9_g.jpg,EquationG172,"[[2386.0, 3012.5], [2268.5, 3072.5], [2283.5, 3135.0], [2411.0, 3165.0]]"
